Feature,Coefficient
borrowed,-0.5709405139849552
debit_card,0.4510849996179313
saved,0.3831538945829133
internetaccess,0.3705808596288188
credit_card,0.2749481967455526
paid_balance_regularly,0.26372592238165704
emp_in,-0.24506107347412037
receive_pension,0.2000947767913556
female,-0.16591431173691631
inc_q,0.10356675108359016
mobileowner,-0.10122433487719476
receive_wages,0.07476039059463349
receive_transfers,-0.03808551714360202
anydigpayment,-0.031505585768048294
pay_utilities,0.012146100866468579
account,-0.00770573855363856
age,0.0047852201184029036
